"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR097C",43.1725376911468,-0.664538679548692,0.275729467224701,-2.4101112087782,0.0159476585988448,0.0552312641981483
"YOR098C",115.872747963679,0.374893524261362,0.176610937657283,2.12270841904962,0.0337782930844839,0.100331734860774
"YOR099W",349.337791105539,-0.0559918090001063,0.0979802440484078,-0.571460191224296,0.567687737785926,0.734076639827673
"YOR100C",16.6924908854837,-2.36770130885408,0.550508553599171,-4.30093464193113,1.70079222866498e-05,0.000132433499576987
"YOR101W",82.8954908412009,0.322035469990792,0.196461830812497,1.63917575571279,0.101176661490301,0.23439529285353
"YOR103C",63.2007910600688,-0.561286855285923,0.234820293952021,-2.39028256816937,0.0168354144429239,0.0576085630663954
"YOR104W",46.3301951951326,-0.535583316745667,0.274853195953746,-1.94861593254239,0.0513413079937648,0.14035387731943
"YOR105W",18.5867023477145,-1.01901956828018,0.432830607428186,-2.35431494629051,0.0185568808910908,0.0621611235950998
"YOR106W",58.1707101660186,-0.225422889045174,0.234012763036073,-0.963293138889286,0.335400435494231,0.531455319940462
"YOR107W",16.1945118422257,0.598997006878567,0.443577369637123,1.35037774214809,0.17689484668195,0.351288600277572
"YOR108W",129.32534186289,0.952304289674805,0.157459239810711,6.0479416185396,1.4670809581578e-09,1.75113922598218e-08
"YOR109W",143.418993089324,0.35403536984114,0.153085060870788,2.31267092835377,0.0207407385674676,0.0679373373404175
"YOR110W",86.2136184200019,-0.460493791150099,0.196289248985249,-2.3459959907672,0.0189763115908156,0.0633016581588967
"YOR111W",26.5926454217624,-0.980673208259398,0.372666585320389,-2.63150292215304,0.00850081361036839,0.0329432738927286
"YOR112W",63.1157979585922,-0.430842650805878,0.232765683978737,-1.85097151539415,0.0641736511013352,0.166192566981627
"YOR113W",68.7948142204011,-0.217160256663175,0.214751149939858,-1.01121813188889,0.311912039388535,0.508401725342201
"YOR114W",16.0967978126803,-1.76611033529023,0.521634320700582,-3.38572495175978,0.00070990498258784,0.00398660097191874
"YOR115C",54.2905317505276,-0.3262162755211,0.244404227450827,-1.33474072410116,0.181961219953594,0.358788931662406
"YOR116C",136.394835223103,0.303214099285141,0.148644851188918,2.03985605192456,0.041364665090965,0.118380080016126
"YOR117W",373.313846223555,-0.0506373199504116,0.0929503587748887,-0.544778101104992,0.585906141775993,0.747490989320989
"YOR118W",74.0322633270017,-0.131711824450339,0.208608074537621,-0.631384114647901,0.52778940014394,0.703945268410087
"YOR119C",37.1285475100948,0.340136876584916,0.294262143142974,1.15589750333482,0.247723083992466,0.439502633330944
"YOR120W",101.501316766799,0.926891052546756,0.176636410437668,5.24745181500299,1.54217366336538e-07,1.55045917178208e-06
"YOR122C",541.78260490755,0.0517356721750873,0.0778885101259533,0.6642272665304,0.506544864537001,0.687462872908081
"YOR123C",214.834081287484,-0.145365694187125,0.120686195678842,-1.20449313502231,0.228399033853496,0.415864028683029
"YOR124C",196.978387971801,0.219664144901031,0.127663777740231,1.72064581504083,0.0853151144103728,0.205528645637281
"YOR125C",74.2642115252751,0.186826810208993,0.200759402082972,0.930600551060512,0.352060229351752,0.547404753871352
"YOR126C",36.5565725706036,-0.904716605175333,0.307154253020613,-2.94547966136942,0.00322454346594303,0.014682556236998
"YOR127W",154.101493563505,-0.676814402976235,0.148591083515797,-4.55487898036816,5.24157458225803e-06,4.43888673747137e-05
"YOR128C",386.578944439948,2.36288950413211,0.0985487222671607,23.9768659580024,4.84837435314987e-127,5.73988155563722e-125
"YOR129C",26.8175323372059,-0.147866816522818,0.361952842438869,-0.408525087208817,0.682888216281997,0.815918220961678
"YOR130C",71.480054313516,0.0250272169448509,0.227771078679955,0.109878818197183,0.912505481442174,0.953086837926909
"YOR131C",81.9494066014904,-0.208367542373197,0.194405498134947,-1.07181918398501,0.283801254743749,0.479230203348616
"YOR132W",209.858701234675,0.0744841882943009,0.121981249167604,0.610619983010328,0.541451190293832,0.714991658296044
"YOR133W",2108.09207736329,0.504543119935521,0.115868324205153,4.35445255117517,1.33399869928007e-05,0.000106152626262328
"YOR134W",34.4125980049744,-0.624985318763928,0.313372175565482,-1.99438676275626,0.0461098040038883,0.129068827685868
"YOR136W",480.28362116482,0.407805257543989,0.0809439478039184,5.03811919986744,4.70128640830018e-07,4.4781875951641e-06
"YOR137C",64.4166333757961,-0.678541601653648,0.233429835490352,-2.90683322561693,0.00365107796270581,0.0163551376537887
"YOR138C",161.152241954867,-0.168433638182977,0.14889737954891,-1.13120619512078,0.25796831505322,0.451561314310118
"YOR140W",57.8826663395678,-0.0975470534215959,0.235412151032985,-0.414367113139916,0.678605269975815,0.813344870068121
"YOR141C",98.4394597806078,-0.455275285990995,0.1829549529625,-2.48845564779168,0.0128299238877501,0.0460844510667728
"YOR142W",326.330055555536,-0.333801615042925,0.0991268667117227,-3.36741819968622,0.00075875532155992,0.00422818407336128
"YOR142W-A",9.1439300878278,-6.07625704668326,3.91005849368756,-1.55400668723827,NA,NA
"YOR142W-B",332.524716698824,1.05365137310527,0.524635427381636,2.00834964265349,0.0446061500838288,0.125550837766274
"YOR143C",21.4705400749522,-0.612845597525094,0.395913199799516,-1.5479291870931,0.121639346554658,0.269382941946766
"YOR144C",21.5560551165325,-0.664234545763198,0.397769600148347,-1.66989771343882,0.0949396028268573,0.222793137539886
"YOR145C",76.2286278148456,0.427919222939349,0.202860786948712,2.10942306483084,0.0349080803480923,0.102840580619359
"YOR147W",55.2847836443701,-0.75243989708477,0.24935124364599,-3.01759031189364,0.00254793107542794,0.0119971981887642
"YOR148C",32.9650772781908,-0.425958666374234,0.311084298381658,-1.36927086513264,0.170914621637498,0.343189934274533
"YOR149C",36.9411347601317,0.303830514824407,0.297849896482862,1.02007930307234,0.30769085168192,0.505027004025776
"YOR150W",53.1838256830671,-0.170035397114483,0.246500793741524,-0.68979655007837,0.490322138520408,0.674926043925039
"YOR151C",492.298169558136,0.376796938212893,0.0808724677512134,4.65914975380777,3.17518151989428e-06,2.749138507001e-05
"YOR152C",11.693873603672,-0.326550090462907,0.530281613875965,-0.615805040035366,0.53802320059426,0.71241099900646
"YOR153W",937.601083802511,2.49160388951879,0.0643138948072687,38.7412999474756,0,0
"YOR154W",33.5832033728835,-1.15974503000746,0.335995238623581,-3.45167102593003,0.000557126548425722,0.00324813176624886
"YOR155C",154.788155267291,0.0396524587745529,0.145116263975617,0.273246138566629,0.784664015471901,0.88230974098711
"YOR156C",30.3687295256304,0.432490575460225,0.315650806562276,1.37015514127919,0.170638477983131,0.342872812878469
"YOR157C",299.747330709531,0.0339638962809985,0.105192068038733,0.322875069520382,0.746789857604648,0.859602854066077
"YOR158W",68.2818466834347,0.0828576217903421,0.218445892310466,0.379305011936689,0.704461378270515,0.831995261816182
"YOR159C",45.9518916301506,0.171532338740874,0.271527501493449,0.631730995193547,0.527562670878242,0.703945268410087
"YOR160W",61.0811240997814,0.274649245658036,0.222460496780408,1.23459782582947,0.216980218576865,0.400387241476642
"YOR161C",172.666591140031,0.346170936523408,0.145223131588603,2.38371761259123,0.0171387481029876,0.058380433203424
"YOR161C-C",1.31985050503641,1.5319637624711,1.52500256951221,1.00456470900316,0.31510649779552,NA
"YOR162C",59.1619512019606,-0.244865340960199,0.231172550742681,-1.05923190350034,0.289494178841805,0.484574140525688
"YOR163W",95.6058792891423,0.340715948006735,0.189728810783821,1.79580500504455,0.0725255344645147,0.182209019241511
"YOR164C",71.264117271902,-0.177093340886513,0.216444474652928,-0.818192939184447,0.413247026293751,0.606527056463374
"YOR165W",145.814078293382,-0.053812011714938,0.14618893362409,-0.36809907823331,0.712799358176761,0.838281177443502
"YOR166C",30.7484499992051,-0.582650755934343,0.331510369205393,-1.75756419725547,0.0788216896804371,0.194297009360488
"YOR167C",683.829885446622,0.171594932595233,0.0675255328242053,2.54118591025353,0.0110477158361676,0.0409155721760043
"YOR168W",246.11424737284,0.367205237956927,0.11362961764293,3.23159793699942,0.00123100131164073,0.006421797310097
"YOR171C",96.9313862786974,-0.00390932381107425,0.181771315212994,-0.0215068246961487,0.982841359402882,0.987950567647916
"YOR172W",79.5098361166527,-0.0165568833640067,0.201637239125889,-0.0821122300413451,0.934557467800995,0.963284980581658
"YOR173W",74.5549551072686,0.585100024281718,0.202227621159014,2.89327452366977,0.00381247913208562,0.0169732858367066
"YOR174W",56.1833613240432,-0.413140016228266,0.237878395990258,-1.73676980840742,0.0824278101886546,0.200786841048716
"YOR175C",171.015503721255,0.144161151371454,0.139836199796167,1.03092869787359,0.302574257734917,0.499609942519219
"YOR176W",155.528321526577,0.155714164260088,0.143326938378721,1.08642636214439,0.277290403593065,0.472550420459275
"YOR177C",6.44613081405675,-1.94220343741414,0.872374349382349,-2.2263417520119,0.0259912988442064,0.0812806062508039
"YOR178C",94.1499268044552,1.50451987326313,0.193300492990467,7.78332144935259,7.06448309166856e-15,1.14792903122603e-13
"YOR179C",34.5708687944879,0.146396181713879,0.296703665153806,0.493408740461597,0.621723807745012,0.77233837609811
"YOR180C",23.1810426047899,-0.257692277177697,0.378086681227739,-0.681569306649227,0.495511328598699,0.678739366517368
"YOR181W",305.072316118563,0.547211381650621,0.108664918367743,5.03576857987185,4.75935280668537e-07,4.52606649698063e-06
"YOR182C",397.194695835795,0.182440878927913,0.0895863314787725,2.0364811898916,0.041702060041415,0.119224173084314
"YOR183W",0.584115261182482,-0.35552693055928,2.17280606919171,-0.163625707604699,0.870025805715812,NA
"YOR184W",274.714692474235,0.827040158682459,0.105499629898116,7.83927071100777,4.53170627100063e-15,7.4471467643271e-14
"YOR185C",83.0410530219172,0.278081881115108,0.192045772136914,1.44799793310136,0.147617628643373,0.310264443391379
"YOR186W",2.59115070535682,-0.122629979454491,1.11000761995558,-0.110476700564811,0.912031327003669,0.952763142076046
"YOR187W",383.026251635852,0.344634632729326,0.0898643729322236,3.83505299691182,0.000125537222898701,0.000840925438839912
"YOR188W",51.577209942005,-0.0893684383592609,0.250525077103273,-0.356724521922493,0.721298045904209,0.84325875942973
"YOR189W",47.2323443234026,-0.365444421688885,0.266410323623977,-1.37173521175061,0.170145882592935,0.342357358626992
"YOR190W",14.9626367488524,-1.06176061023421,0.504755362469558,-2.10351526537421,0.0354207523011268,0.104143833805797
"YOR191W",108.324012931133,0.0583743050926739,0.168310745497106,0.346824588770404,0.728723103227092,0.849030472347933
"YOR192C",8.72505260943079,0.226756652891707,0.634541540128082,0.357355095847525,0.720825988632244,0.842876750666327
"YOR192C-A",3.62026406518534,-4.73955859755042,3.81988199139055,-1.24076047590808,0.214694246063692,0.39815899022234
"YOR192C-B",87.8083496634279,0.736873721958171,0.22547947721925,3.26803011540449,0.00108298841373319,0.00574261040956696
"YOR192C-C",17.7371920205445,-0.0937342602338168,0.432544539652895,-0.21670429664662,0.828438799332846,0.910162621038029
"YOR193W",27.7248017349355,-0.282790098216967,0.344768779474481,-0.820231166661942,0.412084337855023,0.605037014400654
"YOR194C",133.037119540128,-0.227702120013215,0.159431472458307,-1.42821311565545,0.153230526659191,0.317142446368667
"YOR195W",41.096730280225,-0.754965591906102,0.293174463418619,-2.57514103753334,0.0100199219520221,0.0376704907606483
"YOR196C",102.822673360675,0.066419521351389,0.182986107992373,0.362975758543144,0.716622993034427,0.839824238907618
